Subject_ID,Survey_Code,Condition,Order_Group,Dom_Hand,SPARC_Dom,Jerk_Dom,VelInv_Dom,Dwell_Dom,Vel_Mean_Dom,Vel_Peak_Dom,Vel_SD_Dom,PathLen_Dom,RULA_Mean,Wr_Flex_Mean_Dom,Wr_Flex_SD_Dom,Wr_Dev_Mean_Dom,Wr_Dev_SD_Dom,UA_Mean_Dom,SD_UA_Dom,LA_Mean_Dom,SD_LA_Dom,Neck_Sag_Mean,Neck_Sag_SD,Trunk_Sag_Mean,Trunk_Sag_SD,Awareness,NASA-Perceived mental demand 1,NASA-perceived time pressure1,NASA_effort required1,NASA-perceived performance1,NASA-emotional experience-Insecurity,NASA-emotional experience-Discouragement,NASA-emotional experience-Irritation,NASA-emotional experience-Stress,NASA-emotional experience-Annoyement,SART-perceived task complexity,SART-readiness / alertness,SART-attentional focus on movement,SART-spare mental capacity,Perceived control&stress-perceived control of movements,Perceived control&stress-awareness of mistakes or near-mistakes,Sense of agency
1,1,baseline,A->B,SX,-0.9721818241705089,-28.19996881950866,46,19.272567064813007,0.3186592339354762,3.957672071774715,0.30022419486838003,19.767580398490665,3.070943396226415,20.844496959999997,7.755055576981277,4.208855372075472,14.90556910515948,6.760976449811321,6.542805667842862,28.54320879773585,5.18976884106341,65.15323299396226,3.814774801470524,-6.667369492830187,2.8973237500112576,100.0,11.11111111,0.0,11.11111111,22.22222222,0.0,0.0,0.0,0.0,0.0,100.0,50.0,75.0,50.0,100.0,100.0,100.0
1,1,workload,A->B,SX,-0.969922585780047,-27.814784943462886,68,23.81085756652113,0.21604906732518195,3.8868453278458013,0.274994887789898,13.305986778207123,3.1565349544072947,19.73621276975684,10.43653961930418,4.690522347264438,15.658298642487871,2.164547088905775,6.873400172216817,36.439526668693006,6.078463027957672,67.70974168541034,8.00927885046054,-5.314579743920973,3.626455761284182,77.77777778,88.88888889,77.77777778,55.55555556,55.55555556,75.0,0.0,0.0,25.0,0.0,50.0,25.0,0.0,0.0,25.0,25.0,50.0
2,2,baseline,B->A,DX,-1.260784102056224,-29.76935243385466,79,2.8851107676455436,0.5269879738418681,3.535930093096349,0.2920417065978079,31.062415983930066,3.000679809653297,-3.3582142195785183,14.249106002909478,6.795676643099932,21.23652656423842,8.19183384296397,5.807056823441415,35.431575864038074,5.724380715281189,33.441524623385455,34.73892372263805,-7.743984985044188,3.398271748558304,100.0,11.11111111,11.11111111,11.11111111,11.11111111,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,75.0,100.0,25.0,100.0
2,2,workload,B->A,DX,-1.2121733089380435,-29.098786260977654,69,2.7730375426621166,0.49608469732612187,3.514222764565999,0.29673059077058483,29.67995786096356,3.034782608695652,-11.098099555183948,11.788205427878367,7.959002833444816,23.647614669057155,10.7209068180602,5.069265597549645,30.15312389832776,7.059647198561567,49.67747021270903,40.43823765931863,-7.442135198662207,3.882391922107305,77.77777778,66.66666667,22.22222222,22.22222222,66.66666667,0.0,0.0,0.0,50.0,0.0,50.0,75.0,25.0,50.0,75.0,0.0,100.0
3,3,baseline,B->A,DX,-0.992768479455681,-29.271505100621656,58,12.842465753424658,0.3054842593403274,3.8811907095907845,0.2781564200952678,18.75283214380169,3.0,-19.56433471352177,20.509166016557117,7.701966245225363,26.506735472566092,0.9498223682200152,4.415035568217254,32.63038276699771,5.368057396913306,28.192822529411767,5.133141168198833,-2.9709999671504965,1.9808807340723804,100.0,22.22222222,11.11111111,22.22222222,22.22222222,0.0,25.0,0.0,0.0,0.0,100.0,50.0,25.0,25.0,75.0,0.0,75.0
3,3,workload,B->A,DX,-1.7181144038302556,-28.11188216310219,59,45.92522818072563,0.16925818417187907,3.7976198088145963,0.2647394269838936,10.54431325842378,2.9984996249062266,-14.099998546886724,20.459660114644382,3.3534059429857463,20.684751040982757,0.9878849017254314,4.310826868037178,37.84044047411853,4.842459358988177,30.98151907051763,6.68831681236643,-5.585489219054764,3.2954421798003173,88.88888889,66.66666667,88.88888889,88.88888889,77.77777778,50.0,0.0,50.0,25.0,0.0,25.0,75.0,0.0,50.0,25.0,50.0,25.0
4,4,baseline,A->B,DX,-0.96800076864549,-28.212858811987353,59,5.659690025168897,0.3911977278898064,3.29225060084795,0.2567179543836885,24.005885331198705,3.4843152257077277,-17.83844610558531,6.34933825097316,1.9677405256312166,11.903424085949885,4.120061536342769,5.567092883877223,35.91918955547054,8.431363462607925,29.78925522570773,4.113528527884311,-9.050505418515684,3.501238119356604,100.0,11.11111111,22.22222222,11.11111111,33.33333333,25.0,0.0,0.0,0.0,0.0,100.0,75.0,100.0,50.0,75.0,75.0,75.0
4,4,workload,A->B,DX,-0.9698976728888853,-28.632634584190917,63,4.598600851230371,0.4110341079481384,3.3223860635915488,0.2615847331883405,25.654756064633446,3.0112951807228914,-17.838421142319277,10.8880329368879,5.64336818373494,18.866270332358926,3.9920979676204826,6.410738999531243,37.81072500903614,8.455472857637082,24.86662736445783,20.09680220416261,-12.456850777861447,2.5255344704770106,88.88888889,66.66666667,77.77777778,77.77777778,55.55555556,75.0,0.0,0.0,50.0,0.0,25.0,50.0,25.0,25.0,50.0,25.0,50.0
5,5,baseline,B->A,DX,-0.9781423948216879,-27.6515185749973,37,25.945796550098354,0.24924352523751642,3.4315248429049796,0.24713244154347935,15.620121340539965,3.312920089619119,-16.814289782673637,4.74785529062639,8.520965200149366,25.618005426515385,15.386869076923075,3.597829610543604,27.13198467438387,3.443004850109361,24.28974436295743,7.063899226581556,-6.676218256161316,5.427952402640881,100.0,11.11111111,0.0,88.88888889,11.11111111,0.0,0.0,0.0,0.0,0.0,100.0,75.0,75.0,75.0,100.0,75.0,100.0
5,5,workload,B->A,DX,-1.6157320581595127,-27.390423269201946,44,37.976274007473535,0.2105668596759803,3.2643523246732093,0.251421238271635,13.085335282065596,3.059443190368698,-4.736366766741911,11.468622558280337,5.169502228743416,19.83570797865571,15.662714045899172,5.68455109020742,32.83986076448458,7.205260296011617,18.67706124454477,5.542554740063031,-4.609595369450714,4.827740595951441,77.77777778,66.66666667,11.11111111,55.55555556,22.22222222,0.0,0.0,0.0,25.0,0.0,100.0,50.0,25.0,25.0,100.0,75.0,75.0
